Episode,PPO,Random
1,0.5300005,0.4100005
2,0.7000008,0.63000053
3,0.49000055,0.42000085
4,0.49000043,1.0700002
5,0.6700006,0.4000005
6,0.33000058,0.31
7,0.6200008,0.67000073
8,0.6100008,0.38000065
9,0.7200008,0.35000056
10,0.52000076,0.5800006
11,0.4700008,0.39000005
12,0.41000062,0.64000064
13,0.8200008,0.3000005
14,0.64000064,0.62000066
15,0.5800007,0.69000095
16,0.33999997,0.40000063
17,0.49000055,0.3
18,0.3,0.31000048
19,0.3800004,0.5500007
20,1.0200009,0.34000057
21,1.1199998,0.32
22,0.35000044,0.40000063
23,0.66000086,0.32000047
24,0.33999997,0.50000054
25,0.64000064,0.5000008
26,0.5300006,0.3
27,0.35000044,0.49000078
28,0.6800006,0.31000048
29,0.35000056,0.38000053
30,0.8200007,0.40000075
31,0.50000054,0.46000057
32,0.60000044,0.3
33,0.64000064,0.37000018
34,0.5900007,0.51000065
35,0.4600008,0.5100005
36,0.60000044,0.5300006
37,0.33999997,0.65000063
38,0.44000047,0.5100005
39,0.4500007,0.39000005
40,0.54000074,0.3
41,0.6900007,0.3400007
42,0.57000047,0.45000058
43,0.6800005,0.4400006
44,0.4000004,0.4100005
45,0.69000083,0.3
46,0.7400008,0.33999997
47,0.35000056,0.72000086
48,0.3,0.47000057
49,0.4700008,0.3
50,0.87000084,0.48000056
51,0.5500005,0.31
52,0.5300006,0.60000044
53,0.77000064,0.7100006
54,0.62000066,0.5600007
55,0.5500007,0.4600008
56,0.9000006,0.3
57,0.6800006,0.49000055
58,0.8200007,0.3
59,0.78000075,0.38000005
60,0.5300005,0.54000074
61,0.49000055,0.37000066
62,0.65000063,0.6100008
63,0.3600002,0.6200009
64,0.4200006,0.45000046
65,0.72000057,0.48000056
66,0.4400006,0.3
67,0.6800006,0.36000067
68,0.78000075,0.73000056
69,0.4700008,0.3
70,0.3,0.38000005
71,0.37000054,0.32
72,0.9999999,0.5100009
73,0.51000077,0.36000067
74,0.45000058,0.33999997
75,0.51000077,0.65000063
76,0.7400008,0.36000067
77,0.62000066,0.3
78,0.5900007,0.3
79,0.49000055,0.76000065
80,0.4300006,0.3
81,0.45000058,0.31
82,0.58000046,0.3
83,0.5400005,0.3
84,0.49000055,0.7100007
85,0.7200006,0.87000036
86,0.44000012,0.35000068
87,0.37000018,0.3
88,0.36000055,0.44000083
89,0.43000025,0.3
90,0.3,0.45000046
91,0.8400005,0.41000062
92,0.43000036,0.3
93,0.3,0.3
94,0.49000078,0.45000082
95,0.3,0.3
96,0.49000067,0.65000063
97,0.52000076,0.3
98,0.8500007,0.47000057
99,0.38000005,0.41000074
100,0.39000016,0.3400007
101,0.33999997,0.3
102,0.6200008,0.49000055
103,0.3,0.8200006
104,0.53000075,0.53000075
105,0.85000074,0.3
106,0.6200008,0.56000084
107,0.32000035,0.40000063
108,0.5500006,0.34999996
109,0.40000063,0.5400005
110,0.5800007,0.3
111,0.65000063,0.6800006
112,0.7000006,0.49000043
113,0.5400005,0.5500007
114,0.34000057,0.3
115,0.7300008,0.3900004
116,0.7000008,0.62000066
117,0.9100006,0.5900008
118,0.6000007,0.5500005
119,0.32000047,0.31
120,0.62000066,0.3
121,0.41000062,0.3
122,0.7900009,0.5800006
123,0.9600003,0.67000085
124,0.3,0.6600006
125,0.8600008,0.3
126,0.3500008,0.5900007
127,0.6700006,0.8100003
128,0.45000058,0.3
129,0.6700006,0.3
130,0.6900006,0.6200004
131,0.61000067,0.4400006
132,0.7300008,0.42000073
133,0.5300006,0.38000065
134,0.31,0.4400006
135,0.9200006,0.31000072
136,0.6500005,0.4000005
137,0.4700002,0.3
138,0.46000057,0.61000055
139,0.33999997,0.7000006
140,0.6500007,0.84000087
141,0.3400007,0.37000042
142,0.60000056,0.3
143,0.64000064,0.3400007
144,0.69000083,0.49000055
145,0.47000068,0.35000044
146,0.5300004,0.35000008
147,0.5600007,0.31
148,0.48000067,0.3
149,0.3,0.74000055
150,0.5400006,0.39000016
151,0.5300004,0.37000054
152,0.69000036,0.5000008
153,0.47000068,0.48000056
154,0.39000064,0.32000023
155,0.73000056,0.71000063
156,0.87000066,0.4600007
157,0.40000063,0.5800007
158,0.3,0.48000056
159,0.4200005,0.34000057
160,0.7500008,0.7900001
161,0.68000084,0.4700008
162,0.40000063,0.39000064
163,0.5300005,0.3
164,0.32999998,0.54000074
165,0.49000067,0.3
166,0.6400005,0.36000043
167,0.4700008,0.40000063
168,0.5800007,0.33999997
169,0.44000012,0.6300009
170,0.6300005,0.3
171,0.45000082,0.7200008
172,0.47000057,0.64000064
173,0.5500005,0.4600007
174,0.42000037,0.66000074
175,0.5700006,0.5500005
176,0.54000074,0.37000066
177,0.7900005,0.3800004
178,0.37000054,0.31
179,0.40000015,0.4200006
180,0.7600005,0.3400001
181,0.5000008,0.3
182,0.3,0.3
183,0.39000064,0.35000008
184,0.35000044,0.60000056
185,0.6200009,0.38000053
186,0.7700006,0.79000074
187,0.7500008,0.47000057
188,0.5400006,0.3
189,0.45000058,0.5600007
190,0.35999995,0.60000044
191,0.5000008,0.35000068
192,0.45000058,0.3
193,0.8500008,0.31
194,0.49000055,0.7000008
195,0.9400004,0.5900007
196,0.50000054,0.41000062
197,0.7300006,0.3
198,0.88000035,0.34000045
199,0.7000005,0.3
200,0.49000055,0.5500006
201,0.9200006,0.33999997
202,0.5300006,0.6500007
203,0.5100005,0.3400007
204,0.65000063,0.34000057
205,0.50000054,0.3
206,0.47000057,0.47000057
207,0.5100004,0.61000067
208,0.6700003,0.7500008
209,0.38000053,0.31000048
210,0.3000005,0.5900007
211,0.35000044,0.31
212,0.72000057,0.45000058
213,0.52000076,0.31
214,0.49000055,0.3300007
215,0.47000057,0.6600006
216,0.5400005,0.5700007
217,0.4000005,0.38000065
218,0.7200008,0.4300006
219,0.62000066,0.31
220,0.6700003,0.5800007
221,0.7000006,0.41000074
222,0.59000057,0.45000058
223,0.8100007,0.65000075
224,0.63000065,0.5500005
225,0.77000046,0.31
226,0.48000008,0.3
227,1.1600002,0.7900008
228,0.5300005,0.43000072
229,0.5600005,0.32
230,0.5900007,0.3400008
231,0.44000036,0.6000007
232,1.0599998,0.38000065
233,1.0000007,0.3
234,0.7800006,0.5700007
235,0.63000065,0.7500008
236,0.3,0.33999997
237,0.5700006,0.3300001
238,0.5800007,0.7900007
239,0.41000062,0.37000042
240,0.49000055,0.35000068
241,0.35000044,0.32000047
242,0.41000062,0.3400001
243,0.4200006,0.48000056
244,0.41000062,0.62000066
245,0.6500009,0.72000074
246,0.89000064,0.7200005
247,0.61000067,0.3
248,0.7300004,0.37000066
249,0.33999997,0.41000062
250,0.33999997,0.38000065
251,0.3,0.50000066
252,0.4700001,0.72000027
253,0.46000057,0.3
254,0.59000045,0.5500007
255,0.8500007,0.33999997
256,0.32,0.3100006
257,0.64000064,0.3
258,0.54000074,0.3400001
259,0.5700007,0.3
260,0.33999997,0.6000007
261,0.61000043,0.31
262,0.64000064,0.4000005
263,0.51000065,0.5500005
264,0.6600006,0.7500007
265,0.51000077,0.40000063
266,0.41000038,0.34999996
267,0.5300005,0.4200006
268,0.6200009,0.36000055
269,0.77000076,0.6800003
270,0.5300006,0.5300006
271,0.5400005,0.3
272,0.53000075,0.9000008
273,0.62000066,0.3600009
274,0.3600002,0.39000005
275,0.39000064,0.36000067
276,0.5400006,0.47000057
277,0.71000034,0.33999997
278,0.51000077,0.6000007
279,0.57000047,0.47000068
280,0.47000045,0.31
281,0.7900006,0.47000057
282,0.3400007,0.74000055
283,0.61000043,0.3200006
284,0.4400007,0.33999997
285,0.5100005,0.3
286,0.60000056,0.3
287,0.67000055,0.5600005
288,0.6600006,0.5200005
289,0.50000054,0.32
290,0.38000065,0.63000065
291,0.48000056,0.3
292,0.52000064,0.3
293,0.61000067,0.31
294,0.6000007,0.50000066
295,0.49000055,0.3400007
296,0.5500005,0.48000056
